doc_cache_file,backend,entity_count,relation_count
1-78266795.json,ollama,3,3
15-6g-iot-7b289536.json,ollama,3,3
2-9cf95709.json,ollama,3,3
2021-08-04-5ae82683.json,ollama,3,3
2022-10-25-c239d9e6.json,error,0,0
215-1-514-1-10-20170621-cfb40a31.json,ollama,3,3
3-0-21f1f897.json,error,0,0
3-a1803a5b.json,ollama,3,3
30-2d387d79.json,ollama,3,3
3d-72f28518.json,ollama,3,3
4-0ir-363fef48.json,error,0,0
432-1274-1-pb-iot-c7ef9b8b.json,ollama,3,3
473-1403-2-pb-21b50173.json,ollama,3,3
5-0-2d4905f2.json,error,0,0
540-1613-1-pb-ebe0fe52.json,ollama,3,3
557-1686-1-pb-fe8099fd.json,ollama,3,3
6g-343f1b70.json,error,0,0
6g-36c66bd4.json,error,0,0
6g-4af68839.json,error,0,0
6g-4cb1705a.json,ollama,3,3
6g-61faa64d.json,ollama,3,3
6g-6g-hexa-x-b80ebb5a.json,ollama,3,3
6g-8292c305.json,ollama,3,3
6g-8499bf7a.json,ollama,3,3
6s-e6ca9573.json,ollama,3,3
alternative-energy-info-day-accenture-ae8ffdfd.json,ollama,3,3
azrc7-c4e1c308.json,ollama,3,3
b5g-6g-87267b65.json,error,0,0
bim-19260da2.json,error,0,0
bim-24088072.json,ollama,3,3
bim-81cd910d.json,error,0,0
bise-e36ddcfa.json,ollama,3,3
brain-computer-e51144ec.json,ollama,3,2
dave-d5b5d9f1.json,ollama,3,3
desci-deeco-desoc-1772b6cb.json,error,0,0
devicetalk-iot-37952894.json,ollama,3,3
digital-twins-the-foundation-of-the-enterprise-m-a1b62d9f.json,ollama,3,3
doc-1.json,error,0,0
document-07847086.json,ollama,3,3
document-0980e839.json,ollama,2,1
document-16ac0c0c.json,ollama,3,3
document-18755072.json,ollama,3,3
document-2f55cd0f.json,ollama,3,3
document-37545004.json,error,0,0
document-377805e4.json,error,0,0
document-38c3bf47.json,ollama,3,3
document-3a8c4df3.json,ollama,3,3
document-4050eac5.json,ollama,3,3
document-40925ff4.json,ollama,3,3
document-4230e3ed.json,ollama,3,3
document-433b8cb4.json,ollama,3,3
document-4bb8b185.json,ollama,3,3
document-4e9a8a56.json,error,0,0
document-55b3fc9f.json,ollama,3,3
document-5a02e94b.json,error,0,0
document-5ca554be.json,ollama,2,2
document-5f4d62a1.json,error,0,0
document-5fd8df66.json,ollama,3,3
document-650e8864.json,ollama,3,3
document-66d6527b.json,error,0,0
document-67638000.json,ollama,3,3
document-676b3a2d.json,error,0,0
document-68dac801.json,ollama,3,3
document-6f821c96.json,ollama,3,2
document-70b111d9.json,ollama,3,3
document-73a7451e.json,ollama,3,3
document-73c8e8d1.json,ollama,3,2
document-74cc20bd.json,ollama,3,2
document-752016db.json,ollama,3,3
document-7b09de94.json,ollama,3,3
document-7b7e2bdc.json,ollama,3,3
document-84f2aec4.json,error,0,0
document-8df4f424.json,error,0,0
document-944db440.json,ollama,3,3
document-9aeae144.json,ollama,3,3
document-9b90a843.json,ollama,3,3
document-9d27c707.json,error,0,0
document-9d4dd04b.json,ollama,3,3
document-a4156153.json,ollama,3,3
document-a493a5b1.json,ollama,3,3
document-a66e22e6.json,error,0,0
document-b13f7a8f.json,ollama,3,3
document-b9c8333e.json,error,0,0
document-bbf63fc7.json,error,0,0
document-bca82487.json,ollama,3,3
document-be4ba84d.json,ollama,3,2
document-c0cb30dd.json,error,0,0
document-c2886157.json,ollama,3,3
document-c99b7dc5.json,error,0,0
document-ca2b9cd7.json,ollama,3,3
document-ca6686ca.json,ollama,3,3
document-cc4457aa.json,error,0,0
document-cd44a867.json,ollama,3,3
document-d8b1e03a.json,ollama,3,3
document-d937f3de.json,ollama,3,3
document-dad44c4e.json,error,0,0
document-dba4fe7e.json,ollama,3,3
document-dda35e18.json,ollama,3,3
document-e07da855.json,error,0,0
document-e13958dc.json,ollama,3,2
document-e6457d4e.json,error,0,0
document-ea9d286e.json,ollama,3,3
document-ec5b13cd.json,ollama,3,2
document-f1434528.json,ollama,3,3
document-f4b21e0f.json,ollama,3,3
document-f6d3f41e.json,ollama,3,3
document-f724b35c.json,ollama,3,3
document-feb77d9d.json,ollama,3,3
edge-ai-6g-metaverse-4d41a84b.json,ollama,3,2
edge-intelligence-smart-blockchain-metaverse-web-3406665e.json,ollama,3,3
erp-low-code-bc30a165.json,ollama,3,3
evolution-of-low-code-platforms-9a810e0e.json,ollama,3,3
fintech-insurtech-proptech-215cbf0a.json,error,0,0
hexa-x-d1-1-6g-2021-f0aed55c.json,error,0,0
iiot-iov-iod-6dd7eb8f.json,ollama,3,3
ioe-4a41b5c1.json,ollama,3,3
iot-77ed2c9a.json,ollama,3,3
ipfs-e660e7be.json,ollama,3,3
its-499f508c.json,error,0,0
masterthesismatthijsgeleedst-ffbbb1f4.json,ollama,3,2
metaverse-00930f38.json,ollama,3,3
metaverse-51acbf5f.json,ollama,3,3
metaverse-5bddf4cd.json,ollama,3,3
metaverse-appealing-to-a-broader-audience-5646c104.json,ollama,0,0
metaverse-building-a-safer-metaverse-5a596f82.json,ollama,0,0
metaverse-building-an-open-metaverse-a958c8ff.json,ollama,0,0
metaverse-exploring-the-business-promise-of-the-a07927a9.json,ollama,0,0
metaverse-f2d7f3fa.json,ollama,3,2
metaverse-gaming-for-a-cause-2-c91a95ba.json,ollama,0,0
mooc-5-16a1163c.json,error,0,0
mr-z-eb23be66.json,ollama,3,2
nft-bc49c349.json,ollama,3,3
nft-unity-cf28e118.json,ollama,3,3
policing-in-the-metaverse-qlas22002enn-467278d6.json,ollama,3,2
probing-reality-and-myth-in-the-metaverse-final-586df474.json,error,0,0
qca-c06ee6e0.json,ollama,3,3
qom-qop-qos-aoi-industries-3dd4fb94.json,ollama,3,3
qos-5g-9ae655a6.json,ollama,3,3
quality-assurance-framework-for-low-code-develop-dd6146ed.json,ollama,3,3
safecar-94e37e5b.json,error,0,0
sg-metaverse-in-asia-deloitte-center-for-the-edg-a857867b.json,ollama,3,3
sii-mobility-iot-ioe-1bafb161.json,ollama,3,3
ssvep-06b8ae84.json,ollama,3,3
street-smart-5g-e6f73f9c.json,ollama,3,3
swot-d8215f1c.json,ollama,3,3
telelife-745d2039.json,error,0,0
thesis-daan-van-der-burgh-085b5bb1.json,ollama,3,3
value-creation-in-the-metaverse-1-d7d30762.json,ollama,3,3
vrar-industrial-coalition-kk0622204enn-a8f1065a.json,ollama,3,3
web-3-0-fee9f48b.json,error,0,0
web3-0-d5a70d7e.json,ollama,3,3
z-c7a2d51a.json,ollama,3,3
